编导填写,,,,,剪辑填写,,,,编导填写,,,,,,
日期,表达卖点,文案内容,对应视频画面需求,编导,是否采用,短视频ID,剪辑人,上传日期,3天平均展现次数,3天整体点击率,3天合计销售额,7天平均展现次数,7天整体点击率,7天合计销售额,15天合计销售额
,刀头,4+1浮动五刀头，贴合面部，转角也能丝滑带过 （违规存疑⚠️）,刀网，按动刀网  +  刀网，刀网贴手腕,,,,,,,,,,,,
,剃须效果,镀钛工艺顺滑不扯皮，亲肤柔和放心用。,剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，直接冲水就完事，不耽误出门。,12.20  S5，产品，防水,,,,,,,,,,,,
,结尾,用好的品质，让你每天早上多睡5分钟。（违规存疑⚠️）,机身展示，手持机身,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,想找一把能长久用下去的剃须刀吗？,没剃的胡子，全脸摸,张可熠,,7670835431633944630,洪晨沛,8.6,,,,,,,
,刀头+剃须效果,上谷S5Max，刀头采用耐磨材质，不用频繁更换，用个几年状态还在线。,12.20  S5，产品，机身充电口转子刀网，机身展示，转台展示  +  12.20  S5，产品，机身充电口转子刀网，刀网展示,,,,,,,,,,,,
,充电,Type-C充电加超长续航，出门不用老惦记充电。,充电口展示通电电量显示  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,剃须效果 +七级防水,4+1浮动五刀头加镀钛工艺，剃须干净不刺激。全机防水好打理。,刀网，按动刀网  +  剃一道，特写  +  12.20  S5，产品，防水,,,,,,,,,,,,
,结尾,进直播间看看这把不用操心的剃须刀。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,谁说剃须刀不能是科技单品？,机身展示，转台旋转展示机身,张可熠,,7670835392590872618,洪晨沛,8.6,,,,,,,
,充电,上谷S5Max自带电子屏，剩余续航清清楚楚，科技感直接拉满。,充电口展示通电电量显示  +  12.20  S5，产品，防水,,,,,,,,,,,,
,外观机身,外壳高温烤制漆面，质感细腻到像手机背板，设计简约高级。,机身展示，车上机身入画  +  机身展示，手持机身,,,,,,,,,,,,
,动力,39000转动力内核够硬，不是花瓶。,12.20  S5，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,七级防水,全机防水，清洁不再是烦恼。,防水效果，丢进玻璃缸  +  防水效果，直接冲水,,,,,,,,,,,,
,结尾,数码控和颜值党都会多看两眼，进直播间看更多细节,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色[/银色]，有其他动作 [拿出画],,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,如果只买一把剃须刀，又希望它功能齐全——选上谷S5Max不会错。,机身展示，机身扫光  +  12.20  S5，产品，机身充电口转子刀网，机身展示，黑色[/银色]，有其他动作  +  剃一道，全脸,张可熠,,7670835425468661801,洪晨沛,8.6,,,,,,,
,刀头,4+1浮动五刀头剃得干净,12.20  S5，产品，机身充电口转子刀网，刀网展示  +  剃一道，特写,,,,,,,,,,,,
,动力,39000转动力不拖沓,转子展示,,,,,,,,,,,,
,充电,Type-C充电加大容量电池出门方便，旅行锁防误触省心，,充电口展示通电电量显示  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,七级防水,全机防水好清洗,防水效果，直接冲水,,,,,,,,,,,,
,结尾,好的品质，不让你纠结，现在直播间还有超值活动。,机身展示，手持机身  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,刮完胡子脸上还留一层青灰色的茬，看着像没刮干净？,没剃的胡子，照镜子全脸摸  +  没剃的胡子，特写摸,张可熠,,7670835404624904235,洪晨沛,8.6,,,,,,,
,刀头,上谷S5Max的镀钛刀网够薄，配合一体式嵌入刀头，,12.20  S5，产品，机身充电口转子刀网，刀网展示  +  12.20  S5，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,剃须效果,刀片紧贴皮肤从根部切断，剃完脸上干干净净，几乎没有残留胡茬。,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水冲冲就干净，不留胡渣在刀头里。,转子展示  +  剃半脸,,,,,,,,,,,,
,动力,39000转动力加大容量电池，日常用完全足够。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃完展示，剃完摸脸，不展示，车上,,,,,,,,,,,,
,结尾,清爽感的秘诀就在这里，进直播间了解更多详情。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,剃须最烦什么？卡住、拉扯、停停顿顿。,没剃的胡子，竞品卡胡子,张可熠,,7670835390447403014,洪晨沛,8.6,,,,,,,
,外观机身,上谷S5Max只做一件事：给你足够的动力。,机身展示，转台旋转展示机身  +  剃半脸,,,,,,,,,,,,
,动力+剃须效果,39000次/分钟高频震动，不管胡须多厚多密，一刀推过去直接断，不带犹豫。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃一道，全脸,,,,,,,,,,,,
,七级防水,全机防水直接冲。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,充电,Type-C充电超长续航，要的就是这股干脆劲儿。,12.20  S5，产品，机身充电口转子刀网，充电口  +  没剃的胡子，假装在剃  +  左右脸对比,,,,,,,,,,,,
,结尾,现在直播间还有超值活动，错过还要再等一年,机身展示，手持机身  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,有过一推到底的剃须体验吗？,剃半脸,张可熠,,,洪晨沛,8.7,,,,,,,
,动力+剃须效果,上谷S5Max强劲合金转子一开，39000次/分震动，络腮胡硬胡茬都清空！,转子展示  +  没剃的胡子，假装在剃  +  左右脸对比,,,,,,,,,,,,
,剃须效果,镀钛工艺刀头顺滑不伤肤，而且越用越锋利，完全没有扯胡子的痛苦。,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，洗澡时顺便一冲就干净。,12.20  S5，产品，防水  +  防水效果，直接冲水,,,,,,,,,,,,
,充电,Type-C充一次能用大半个月，这质感绝了！,充电口展示通电电量显示  +  12.20  S5，产品，机身充电口转子刀网，机身展示，银色，有其他动作[侧摸],,,,,,,,,,,,
,结尾,你的专属惊喜正在直播间里等你来领,剃完展示，有推拉,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,这台剃须刀为什么受欢迎？S5Max往复式剃须刀，针对国人硬胡茬设计，看看这配置！ ,机身展示，红布抽开展示产品  +  机身展示，机身扫光  +  没剃的胡子，全脸摸,张可熠,,,洪晨沛,8.7,,,,,,,
,动力+剃须效果,4+1浮动五刀头，，不管胡子多硬多密，照样拿下！,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃一道，全脸,,,,,,,,,,,,
,刀头,镀钛工艺加自磨技术，用上两三年依然锋利。,产品拿出拔盖正反展示  +  剃半脸，真剃,,,,,,,,,,,,
,七级防水,平面设计直接水洗，一冲即净，没有藏垢死角。,12.20  S5，产品，防水  +  防水效果，直接冲水,,,,,,,,,,,,
,结尾,现在直播间拍一发四，专属好礼等你拿。,机身展示，保护盒打开关闭展示机身  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,经常出差最怕两件事：剃须刀在包里误触发热，用到一半没电！,没剃的胡子，照镜子全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,洪晨沛,,,,,,,,
,,上谷S5Max自带旅行锁，装包里一万个放心！,产品拿出拔盖正反展示  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,充电,电子屏显示剩余电量，Type-C充电一次续航能用大半个月！,充电口展示通电电量显示  +  剃半脸，真剃,,,,,,,,,,,,
,剃须效果,4+1浮动五刀头剃须又快又干净，自磨刀头久用依然锋利，,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,结尾,现在进直播间还额外送你一个保护盒，出差党直接冲！,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,别再花冤枉钱买那些虚有其表的剃须刀了！,没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,刀头,上谷S5Max把成本都花在了刀刃上：镀钛工艺加自磨刀头，越用越锋利；,机身展示，车上机身入画  +  刀网，刀网展示,,,,,,,,,,,,
,转子,39000次/分合金转子，横扫粗硬胡茬；,转子展示  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水一冲即净，还有防误触的旅行锁！,12.20  S5，产品，防水  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,结尾,更多惊喜，点我头像，直播间见。,礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,讲真的，时间就是金钱！早上多睡几分钟全靠上谷S5Max！,没剃的胡子，全脸摸  +  没剃的胡子，假装在剃,张可熠,,,,,,,,,,,
,刀头+剃须效果,4+1浮动五刀头，大面积贴合面部轮廓，下巴、喉结、都照顾得到。,12.20  S5，产品，机身充电口转子刀网，刀网展示  +  剃一道，特写,,,,,,,,,,,,
,动力+剃须效果,39000次高频震动，动力够足，几下就能搞定一张脸，出门不用慌。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃完展示，剃完摸脸,,,,,,,,,,,,
,外观机身,高温烤制漆面，细腻不留指纹，拿在手上既有质感又有面子。,机身展示，机身扫光  +  机身展示，转台旋转展示机身  +  机身展示，手持机身,,,,,,,,,,,,
,结尾,今天直播间已经安排上了，喜欢的别错过。,防水效果，丢进玻璃缸  +  礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,商务男士的形象随时不能塌！,没剃的胡子，全脸摸,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max细腻的高温烤漆外观，搭配硬核镀钛工艺，拿出来就有面子。,12.20  S5，产品，机身充电口转子刀网，机身展示  +  机身展示，转台旋转展示机身  +  机身展示，手持机身,,,,,,,,,,,,
,刀头+剃须效果,镀钛工艺搭配自磨刀头，越用越锋利，时刻保证剃须干净利落。,产品拿出拔盖正反展示  +  剃半脸，真剃  +  剃一道，特写,,,,,,,,,,,,
,充电,Type-C快充续航，还有安全旅行锁防误触，让你出行没有出行之忧。,12.20  S5，产品，机身充电口转子刀网，充电口，银色[黑色] [插电]  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,结尾,品质过硬，用着放心。进直播间享专属活动，轻松拿捏精英气场！,礼盒及赠品展示，纯展示  +  剃完展示，有推拉,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,只要用一次上谷S5Max，你就再也回不去了！,没剃的胡子，假装在剃  +  左右脸对比,张可熠,,,,,,,,,,,
,刀头,4+1浮动五刀头紧贴面部，39000次/分的合金转子动力澎湃，剃须快准狠！,刀网，刀网贴手腕  +  12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃半脸,,,,,,,,,,,,
,剃须效果,自磨刀头越用越锋利，再也不用频繁换刀头。,12.20  S5，产品，防水，银色[刀头入水]  +  剃一道，全脸,,,,,,,,,,,,
,七级防水,全机防水，用完水冲一秒搞定,防水效果，直接冲水,,,,,,,,,,,,
,结尾,别急着划走，直播间里藏着为你准备的惊喜,12.20  S5，产品，礼盒  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,以前刮胡子是折磨，现在用上谷S5Max简直是享受！,没剃的胡子，竞品卡胡子  +  没剃的胡子，假装在剃,张可熠,,,,,,,,,,,
,刀头+剃须效果,4+1浮动五刀头灵活贴合脸型，配合镀钛自磨刀头，越用越锋利，完全没有拉扯感。,剃一道，特写  +  刀网，刀网展示  +  12.20  S5，产品，机身充电口转子刀网，刀网展示,,,,,,,,,,,,
,外观机身,高温烤制，漆面细腻不留痕，握在手里质感超棒。,12.20  S5，产品，机身充电口转子刀网，机身展示，银色[/黑色]，有其他动作,,,,,,,,,,,,
,充电,满电续航长达大半月，告别频繁充电烦恼，品质有保障。,12.20  S5，产品，机身充电口转子刀网，充电口，银色[黑色] [插电]  +  12.20  S5，产品，防水，黑色[/银色] [水波],,,,,,,,,,,,
,结尾,心动不如行动，让每天剃须都变成一种享受！,剃完展示，上脸再展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,还有5分钟开会，胡子拉碴怎么办？上谷S5Max来救急！,没剃的胡子，全脸摸  +  没剃的胡子，特写摸  +  机身展示，红布抽开展示产品,张可熠,,,,,,,,,,,
,刀头+剃须效果,4+1浮动五刀头大面积覆盖，镀钛自磨刀头贴皮顺滑，几分钟还你干爽利落！,12.20  S5，产品，机身充电口转子刀网，刀网展示，银色[/黑色] [手摸刀网] + [手腕]  +  剃一道，特写,,,,,,,,,,,,
,七级防水,平板面设计支持直接水洗，一冲即净不耽误时间。,防水效果，直接冲水  +  防水效果，丢进玻璃缸,,,,,,,,,,,,
,充电,电子屏随时掌握电量，让你告别电量焦虑，,充电口展示通电电量显示  +  机身展示，手持机身,,,,,,,,,,,,
,结尾,用上谷S5Max，让你时刻保持最佳状态！,剃完展示，剃完摸脸，不展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,在家也能享受理发店一般的剃须体验！,剃半脸，真剃,张可熠,,,,,,,,,,,
,动力,上谷S5Max用镀钛刀网搭配39000次/分合金转子，切削胡茬干净利落。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃一道，特写,,,,,,,,,,,,
,剃须效果,自磨刀头越用越锋利，省去频繁换刀头的钱。,12.20  S5，产品，机身充电口转子刀网，刀网展示，银色[/黑色] [手摸刀网] + [手腕]  +  剃半脸,,,,,,,,,,,,
,外观机身,高温烤漆细腻不留痕，怎么看都舒服，,机身展示，机身扫光  +  机身展示，手持机身,,,,,,,,,,,,
,结尾,现在进直播间，专属好礼正在派送中,12.20  S5，产品，礼盒，黑色[/银色],,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,早上多睡几分钟，还是跟满脸胡茬较劲？成年人不做选择，效率和舒适我都要。,没剃的胡子，全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,动力+剃须效果,上谷S5Max，39000转合金转子搭配浮动五刀头，动力猛、贴脸深，为通勤省下的时间多喘口气。,机身展示，转台旋转展示机身  +  转子展示  +  剃一道，全脸,,,,,,,,,,,,
,充电,Type-C快充搭配超长续航，电子屏显电量清清楚楚，出差心里有底。,12.20  S5，产品，机身充电口转子刀网，充电口，黑色[/银色] [插电]  +  产品拿出拔盖正反展示,,,,,,,,,,,,
,七级防水,平板面一冲即净，全机防水不藏垢。,防水效果，直接冲水,,,,,,,,,,,,
,结尾,别让剃须拖慢你的晨间节奏，点击直播间，把时间抢回来，让你每天从容出门。,礼盒及赠品展示，从人到礼盒产品赠品展示  +  剃完展示，剃完摸脸，不展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,男人的品味，往往藏在别人不容易看见的细节里。,没剃的胡子，特写摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max，高温烤制漆面细腻如瓷，随手一放就是洗手台上的质感担当。,12.20  S5，产品，机身充电口…，机身展示，两个颜色一起展示  +  银色，有其他动作[翻转],,,,,,,,,,,,
,动力+剃须效果,内里更是毫不含糊，合金转子与自磨刀头默契配合，剃须干净利落，久用依然锋利。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  12.20  S5，产品，防水，银色[刀头入水]  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，水冲即净，打理轻松到不像话。,防水效果，丢进玻璃缸  +  防水效果，直接冲水,,,,,,,,,,,,
,结尾,生活不该将就，给自己一份不将就的礼物，直播间正在讲解，来看看什么叫真正的质感。,剃完展示，剃完摸脸，不展示  +  机身展示，手持机身,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,剃须泛红、刺痛、火辣辣？那不是你皮肤娇气，是刀头不行。,没剃的胡子，照镜子全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,刀头,上谷S5Max，采用刀片刀网一体嵌入技术，搭配镀钛浮动五刀头，顺滑贴合面部每一处轮廓。,机身展示，红布抽开展示产品  +  刀网，刀网展示  +  刀网，刀网贴手腕,,,,,,,,,,,,
,动力,合金转子提供源源不断的强劲动力，再硬的胡茬也能剃。,转子展示  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，用完水下一冲即净。,12.20  S5，产品，防水[推入]  +  防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,别让每天早上这点事影响整天心情，试试亲自体验什么叫顺滑净须。,没剃的胡子，全脸摸  +  剃完展示，上脸再展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,经常在路上的兄弟，行李能少则少，麻烦能省则省。,12.20  S5，产品，礼盒，礼盒推倒  +  机身展示，转台展示,张可熠,,,,,,,,,,,
,充电,上谷S5Max，升级大容量电池，Type-C接口跟手机共用一根线，一个充电头搞定所有。,机身展示，车上机身入画  +  12.20  S5，产品，机身充电口转子刀网，充电口,,,,,,,,,,,,
,外观机身,自带旅行锁，塞进行李箱防误触，安心又省电。,机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,七级防水,平板面设计水一冲就干净，不用拆开抠刀头。,12.20  S5，产品，机身充电口转子刀网，转子展示，银色  +  防水效果，直接冲水,,,,,,,,,,,,
,结尾,经常往外跑的，这把太合适了，来直播间，带走这份差旅路上的省心。,剃完展示，剃完摸脸，不展示，车上  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,别光看标价，剃须刀这笔账得往长了算。几十块的便宜货，不光体验感不好，两年换下来够买把好的了。,没剃的胡子，照镜子全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,刀头+剃须效果,上谷S5Max，合金镀钛自磨刀头，越用越锋利，根本不用频繁更换刀头。,12.20  S5，产品，防水，银色[刀头入水]  +  剃半脸,,,,,,,,,,,,
,动力,39000转强效电机，剃得干净利落，几分钟就搞定。,转子展示  +  剃一道，全脸,,,,,,,,,,,,
,七级防水,全机防水，耐用省心。,12.20  S5，产品，防水  +  防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,平均下来每天就几毛钱，聪明人算长期账，直播间正在讲解，进来算算哪笔买卖划算。,机身展示，手持机身  +  礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,络腮胡、钢针胡，普通剃须刀看见就犯怵，推半天留一片，还夹得生疼。,没剃的胡子，照镜子特写摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,动力,上谷S5Max升级合金转子，每分钟39000次高频切割，动力储备深不见底。,转子展示  +  剃半脸,,,,,,,,,,,,
,剃须效果,配合浮动五刀头，紧贴下颌、喉结这些犄角旮旯，再硬的胡茬也能剃到。,刀网，按动刀网  +  刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，干湿双剃，着急的话洗澡顺手就刮了。,防水效果，丢进玻璃缸  +  防水效果，直接冲水,,,,,,,,,,,,
,结尾,进直播间，看看它怎么轻松拿下你的硬胡茬。,机身展示，手持机身  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月1日,开头,三十多岁的年纪，该对自己好一点了。,没剃的胡子，照镜子全脸摸,张可熠,,,,,,,,,,,
,剃须效果,上谷S5Max，不只是一把剃须工具，更是每天清晨与自己独处的仪式感。,机身展示，转台旋转展示机身  +  机身展示，机身扫光,,,,,,,,,,,,
,外观机身,烤漆机身温润如玉，握感扎实，刀头搭载自磨技术，历久弥新，陪你走过漫长岁月。,12.20S5，产品，机身…，机身展示，黑色[/银色]，有其他动作+12.20S5，产品，机身…，刀网展示[手摸刀网],,,,,,,,,,,,
,七级防水,全机身防水，让你用的省心。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色[/银色]，有其他动作,,,,,,,,,,,,
,结尾,从清爽利落的状态开始一天，直播间活动已开启，来挑一份犒劳自己的体面礼物。,剃完展示，剃完摸脸，不展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,男人最怕什么？胡子拉碴，穿再贵的西装也显得邋遢没精神。,没剃的胡子，特写摸  +  没剃的胡子，全脸摸,张可熠,,,,,,,,,,,
,动力+剃须效果,上谷S5Max，39000转/分高频动力，搭配镀钛浮动五刀头，所到之处胡茬清空，留下干干净净的清爽面容。,机身展示，红布抽开展示产品  +  产品细节及礼盒展示，转子展示  +   刀网，刀网展示  +  剃一道，特写,,,,,,,,,,,,
,七级防水,平板面一冲即净，全机防水打理轻松到极致。,防水效果，直接冲水,,,,,,,,,,,,
,外观机身,烤漆机身高级有质感，拿在手里有面子。,机身展示，手持机身,,,,,,,,,,,,
,结尾,干净的下巴，才是男人最好的名片。想提升形象、拿捏气场的，点击直播间，型男利器等你来拿。,剃完展示，剃完摸脸，不展示  +  礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,剃须最怕什么？卡顿、夹须，生拉硬拽疼得龇牙咧嘴。,没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,动力,上谷S5Max搭载升级合金转子，动力澎湃且稳定，胡须一触即断，绝不拖泥带水。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  12.20  S5，产品，防水，银色[刀头入水]  +  剃半脸,,,,,,,,,,,,
,刀头,刀头一体式嵌入，结构稳固扎实，剃须过程行云流水。,刀网，刀网展示  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，一冲即净，不用费心打理。,12.20  S5，产品，防水  +  防水效果，直接冲水,,,,,,,,,,,,
,充电,大电池长续航，Type-C快充，无需频繁充电。,充电口展示通电电量显示,,,,,,,,,,,,
,结尾,追求干脆利落剃须体验的兄弟，直播间已就位，进来看看它到底多猛。,剃完展示，上脸再展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,皮肤敏感的兄弟，剃须简直跟上刑一样，泛红、刺痛、小口子没断过。,12.20  S5，人脸相关,张可熠,,,,,,,,,,,
,剃须效果,上谷S5Max亲肤柔和，刀头采用镀钛工艺，表面顺滑无比，大大减少摩擦刺激。,12.20  S5，产品，机身充电口转子刀网，机身展示  +  剃半脸,,,,,,,,,,,,
,刀头,浮动五刀头灵活贴合，压力均匀分散，不泛红、不拉扯。,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,动力,3900转动力十足，钝刀扯皮这种事根本不存在。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  左右脸对比,,,,,,,,,,,,
,七级防水,全机防水，冲洗方便。,防水效果，直接冲水,,,,,,,,,,,,
,结尾,敏感肌男生的救星，点击直播间，了解这把锋利的剃须刀。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,你注意过吗？洗手台上那把剃须刀，是不是有点邋遢。,12.20  S5，产品，礼盒，礼盒推倒,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max，外壳经高温双涂双烤工艺，漆面细腻均匀，耐磨抗污，怎么摸都不留指纹，随手一放都干干净净。,机身展示，机身扫光  +  12.20  S5，产品，机身充电口转子刀网，机身展示,,,,,,,,,,,,
,功能,内在更是硬核实力：合金转子、自磨刀头、全机防水。,12.20  S5，产品，防水  +  12.20  S5，产品，机身充电口转子刀网，转子展示  +  刀网，刀网展示  +  防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,内外兼修，才是成熟男人的选择。直播间正在展示细节，别错过。,剃完展示，上脸再展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,刮完胡子，脸上还浮着一层青灰色的胡茬，看着像没刮干净，自己也觉得没精神。,没剃的胡子，特写摸  +  没剃的胡子，照镜子全脸摸,张可熠,,,,,,,,,,,
,刀头+剃须效果,上谷S5Max，刀网做了轻薄化设计，搭配一体式嵌入刀头，紧贴皮肤从根部切割，剃完几乎看不见残留痕迹。,机身展示，转台旋转展示机身  +  刀网，按动刀网  +  左右脸对比,,,,,,,,,,,,
,动力,39000转动力确保每一根胡须都被干净切断，不留毛茬。,转子展示  +  剃一道，特写,,,,,,,,,,,,
,七级防水,整机支持水洗，用完水冲即净。,12.20  S5，产品，防水，黑色[/银色] [浇水],,,,,,,,,,,,
,结尾,想拥有真正干净清爽的面容？来直播间了解这把剃须利器。,剃完展示，剃完摸脸，不展示  +  剃完展示，有推拉,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,告别那根碍事的电线，Type-C快充让剃须彻底摆脱插座束缚。,产品拿出拔盖正反展示  +  12.20  S5，产品，机身充电口转子刀网，充电口，银色[/黑色] [插电],张可熠,,,,,,,,,,,
,充电,上谷S5Max，充一次电，就能无线畅剃，按每天两分钟算，能用一两个月。,机身展示，手持机身  +  没剃的胡子，假装在剃,,,,,,,,,,,,
,外观机身,电子屏精准显示剩余电量，心中有数不慌张。,充电口展示通电电量显示,,,,,,,,,,,,
,七级防水,全机防水，干湿两用，浴室、洗手台、甚至车里，随性而剃，不受场地限制。,防水效果，丢进玻璃缸  +  12.20  S5，产品，防水，黑色[/银色] [水波]  +  剃完展示，剃完摸脸，不展示，车上,,,,,,,,,,,,
,结尾,享受自由无束缚的剃须体验，点进直播间，把它带回家。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,一把剃须刀能用多久，关键看刀头。,产品拿出拔盖正反展示,张可熠,,,,,,,,,,,
,刀头,上谷S5Max，刀头采用精钢镀钛工艺，硬度高、耐磨损，长期使用依旧保持锋利。,刀网，刀网展示  +  剃一道，特写,,,,,,,,,,,,
,外观机身,刀片刀网一体嵌入，结构牢固不松动。,机身展示，手持机身,,,,,,,,,,,,
,剃须效果,往复式浮动五刀头，剃得干净不伤肤。,刀网，按动刀网  +  剃一道，特写,,,,,,,,,,,,
,结尾,想找一把能长久陪伴、不用操心的剃须刀？直播间正在讲解，进来看看这份硬核耐用性。,剃完展示，上脸再展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,还在用传统剃须刀吗？费时费力不说，手一抖就卡住。该升级了！,没剃的胡子，全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max，一键即享干净利落。,产品拿出拔盖正反展示,,,,,,,,,,,,
,剃须效果+动力,浮动五刀头贴合面部每寸曲线，合金转子动力强劲，干剃湿剃都顺畅自如。,刀网，刀网贴手腕  +  转子展示  +  剃半脸,,,,,,,,,,,,
,七级防水,全机防水，用完一冲即净，不用拆刀头清洁。,防水效果，丢进玻璃缸  +  防水效果，直接冲水,,,,,,,,,,,,
,充电,Type-C充电，便捷省心，跟手机共用线。,充电口展示通电电量显示,,,,,,,,,,,,
,结尾,升级你的剃须方式，直播间等你，开启省心高效新体验。,剃完展示，有推拉  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,精英男士，形象管理是基本功，不容有半点闪失。,没剃的胡子，全脸摸,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max，简约流线型设计，融合高温烤漆工艺，低调中见高级，彰显商务格调。,机身展示，转台旋转展示机身  +  12.20  S5，产品，防水[水波],,,,,,,,,,,,
